Day,Date,DJIA,FTSE-100,USD/GBP,CAC-40,EUR/USD,Nikkei,YEN/USD
0,7-Aug-06,11219.38,5828.8,1.9098,4956.34,0.7776,15154.06,115
1,8-Aug-06,11173.59,5818.1,1.9072,4967.95,0.7789,15464.66,115.08
2,9-Aug-06,11076.18,5860.5,1.9086,5025.15,0.7762,15656.59,115.17
3,10-Aug-06,11124.37,5823.4,1.8918,4976.64,0.7828,15630.91,115.41
4,11-Aug-06,11088.02,5820.1,1.897,4985.52,0.7833,15565.02,116.07
5,14-Aug-06,11097.87,5870.9,1.8923,5046.93,0.7847,15857.11,116.45
6,15-Aug-06,11230.26,5897.9,1.8955,5115.02,0.782,15816.19,116.02
7,16-Aug-06,11327.12,5896.6,1.9,5137.31,0.778,16071.36,115.78
8,17-Aug-06,11334.96,5900.4,1.8931,5144.84,0.7775,16020.84,115.53
9,18-Aug-06,11381.47,5903.4,1.8796,5135.69,0.78,16105.98,115.74
10,21-Aug-06,11345.04,5915.2,1.897,5104.65,0.7741,15969.04,115.86
11,22-Aug-06,11339.84,5902.6,1.8885,5128.33,0.7804,16181.17,116.46
12,23-Aug-06,11297.9,5860,1.8937,5082.73,0.7816,16163.03,116.53
13,24-Aug-06,11304.46,5869.1,1.8914,5112.85,0.7816,15960.62,116.32
14,25-Aug-06,11284.05,5878.6,1.8862,5111.13,0.7845,15938.66,117.3
15,29-Aug-06,11369.94,5888.3,1.8929,5160.32,0.7838,15890.56,116.92
16,30-Aug-06,11382.91,5929.3,1.9059,5182.79,0.7792,15872.02,117.05
17,31-Aug-06,11381.15,5906.1,1.9018,5165.04,0.7813,16140.76,117.3
18,1-Sep-06,11464.15,5949.1,1.9034,5183.45,0.781,16134.25,117.32
19,5-Sep-06,11469.28,5981.7,1.8926,5172.85,0.7808,16385.96,116.1
20,6-Sep-06,11406.2,5929.3,1.8806,5115.52,0.782,16284.09,116.63
21,7-Sep-06,11331.44,5858.1,1.874,5060.09,0.7854,16012.41,116.45
22,8-Sep-06,11392.11,5879.3,1.8651,5073.57,0.7893,16080.46,116.74
23,11-Sep-06,11396.84,5850.8,1.8625,5058.31,0.7879,15794.38,117.74
24,12-Sep-06,11498.09,5895.5,1.8756,5125.97,0.7881,15719.34,117.77
25,13-Sep-06,11543.32,5892.2,1.8746,5137.93,0.7888,15750.05,117.67
26,14-Sep-06,11527.39,5877.2,1.8907,5123.85,0.7843,15942.39,117.41
27,15-Sep-06,11560.77,5877,1.878,5144.88,0.7905,15866.93,117.59
28,19-Sep-06,11540.91,5831.8,1.8868,5115.99,0.7872,15874.28,117.18
29,20-Sep-06,11613.19,5866.2,1.8892,5192.74,0.7872,15718.67,117.25
30,21-Sep-06,11533.23,5896.7,1.8969,5208.32,0.7861,15834.23,116.78
31,22-Sep-06,11508.1,5822.3,1.9024,5141.95,0.7811,15634.67,116.38
32,25-Sep-06,11575.81,5798.3,1.8993,5146.49,0.7849,15633.81,116.49
33,26-Sep-06,11669.39,5873.6,1.8951,5219.59,0.789,15557.45,117.04
34,27-Sep-06,11689.24,5930.1,1.8883,5243.1,0.7868,15947.87,117.37
35,28-Sep-06,11718.45,5971.3,1.8737,5250.01,0.7881,16024.85,117.85
36,29-Sep-06,11679.07,5960.8,1.8682,5250.01,0.7895,16127.58,118.09
37,2-Oct-06,11670.35,5957.8,1.885,5243.13,0.7847,16254.29,117.73
38,3-Oct-06,11727.34,5937.1,1.8891,5219.79,0.7849,16242.09,117.89
39,4-Oct-06,11850.61,5966.5,1.8841,5256.55,0.7881,16082.55,117.98
40,5-Oct-06,11866.69,6004.5,1.8769,5288.53,0.7881,16449.33,117.69
41,6-Oct-06,11850.21,6001.2,1.8697,5282.06,0.7945,16436.06,118.99
42,10-Oct-06,11867.17,6072.7,1.8557,5309.79,0.7975,16477.25,119.65
43,11-Oct-06,11852.13,6073.5,1.8565,5313.19,0.7969,16400.57,119.59
44,12-Oct-06,11947.7,6121.3,1.8566,5361.51,0.7976,16368.81,119.51
45,13-Oct-06,11960.51,6157.3,1.8555,5353.23,0.8004,16536.54,119.87
46,16-Oct-06,11980.59,6172.4,1.8602,5361.97,0.799,16692.76,119.25
47,17-Oct-06,11950.02,6108.6,1.8693,5302.99,0.7975,16611.59,118.7
48,18-Oct-06,11992.68,6150.4,1.867,5361.29,0.7991,16653,119.08
49,19-Oct-06,12011.73,6156,1.8758,5359.74,0.7938,16551.36,118.31
50,20-Oct-06,12002.37,6155.2,1.8805,5375.35,0.7935,16651.63,118.77
51,23-Oct-06,12116.91,6166.1,1.872,5411.81,0.7967,16788.82,119.31
52,24-Oct-06,12127.88,6182.5,1.8716,5404.54,0.7971,16780.47,119.47
53,25-Oct-06,12134.68,6214.6,1.8769,5422.28,0.7944,16699.3,119.13
54,26-Oct-06,12163.66,6184.8,1.8873,5433.79,0.7893,16811.6,118.6
55,27-Oct-06,12090.26,6160.9,1.8967,5396.03,0.786,16669.07,117.61
56,30-Oct-06,12086.49,6126.8,1.9025,5362.23,0.7863,16351.85,117.48
57,31-Oct-06,12080.73,6129.2,1.9073,5348.73,0.7835,16399.39,117.15
58,1-Nov-06,12031.02,6149.6,1.907,5370.86,0.7828,16375.26,116.97
59,2-Nov-06,12018.54,6149.3,1.9072,5310.07,0.7832,16350.02,117.11
60,6-Nov-06,12105.55,6224.5,1.8965,5402.36,0.7866,16364.76,118.36
61,7-Nov-06,12156.77,6244,1.909,5437.78,0.7812,16393.41,117.45
62,8-Nov-06,12176.54,6239,1.9033,5437.16,0.7839,16215.74,117.92
63,9-Nov-06,12103.3,6231.5,1.8988,5448.6,0.7816,16198.57,118.29
64,10-Nov-06,12108.43,6208.4,1.912,5447.5,0.7777,16112.43,117.47
